Event.Id,Event.Date,Weather.Condition,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Make,Engine.Type,Broad.phase.of.flight,Aircraft.Category,Injury.Severity,Purpose.of.flight,Accident_Count
20120102X93914,2012-01-01,VMC,0.0,0.0,0.0,Haney John F B,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X02043,2012-01-01,VMC,0.0,0.0,2.0,Continental Copters Inc.,Reciprocating,Unknown,Helicopter,Non-Fatal,Aerial Observation,1
20111230X02532,2012-01-02,VMC,0.0,0.0,0.0,Mcadam W E,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X35104,2012-01-02,VMC,0.0,0.0,0.0,Maule,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120103X94513,2012-01-02,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120111X92548,2012-01-02,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120104X41711,2012-01-03,VMC,0.0,0.0,0.0,Butler John R,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120105X35308,2012-01-03,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120104X92439,2012-01-04,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Public Aircraft - Federal,1
20120106X15754,2012-01-05,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X02454,2012-01-05,VMC,0.0,0.0,0.0,Sanderson,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120106X12700,2012-01-06,VMC,0.0,0.0,0.0,Czech Sportplanes Sro,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120107X81643,2012-01-06,VMC,0.0,0.0,0.0,Robinson Helicopter,Reciprocating,Unknown,Helicopter,Non-Fatal,Instructional,1
20120108X24231,2012-01-06,VMC,0.0,0.0,0.0,Piper,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120109X03605,2012-01-06,VMC,0.0,0.0,0.0,Aviat,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X03902,2012-01-06,VMC,0.0,2.0,0.0,Aviat Aircraft Inc,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120108X85358,2012-01-07,VMC,0.0,0.0,0.0,Luscombe,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120110X04011,2012-01-07,VMC,0.0,0.0,0.0,Cirrus Design Corp,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120109X64751,2012-01-08,VMC,1.0,0.0,0.0,Bowers Fly Baby,Reciprocating,Unknown,Airplane,Fatal,Personal,1
20120206X15258,2012-01-08,VMC,0.0,0.0,0.0,Beech,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120111X05220,2012-01-11,VMC,0.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Instructional,1
20120111X72151,2012-01-11,VMC,0.0,1.0,1.0,Infinity Power Parachutes Llc,Reciprocating,Unknown,Powered Parachute,Non-Fatal,Personal,1
20120112X50946,2012-01-12,VMC,0.0,0.0,1.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
20120117X32259,2012-01-13,VMC,0.0,0.0,0.0,Cessna,Reciprocating,Unknown,Airplane,Non-Fatal,Personal,1
